team_id,team_name,country
6398,iDomina,Italy
5770,"myXMG fe",Norway
4603,logiX,Denmark
6179,"New Zealand","New Zealand"
6518,"Fountain of Fire",China
4536,BoomSlave,Poland
4665,RAIDERS,Finland
6920,"Binary Dragons Gold",Russia
5749,Cipangu.GO,Japan
6293,Veneration,"South Africa"
7205,SofaKingGood,"United States"
6517,"Brave or warrior",China
6414,"Project Skyline",Kyrgyzstan
5742,"Virtual Impact",India
5892,"Game Show Staff",Ukraine
6510,7Kings,China
5069,Luxembourg,Luxembourg
6306,"Sri Lanka","Sri Lanka"
5012,"ATE Gaming",India
6905,"Alter Your Ego","United Kingdom"
5074,Armenia,Armenia
